Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,37,0,0,2,2,2,609,17,0,0,0,0,0,42.1120085,-83.2256645,3
0,43,2,0,4,1,1,906,21,0,0,0,0,0,42.3244907,-83.3499084,3
0,46,0,0,3,2,1,782,18,0,0,0,0,0,42.1401845,-83.2120695,3
0,37,0,0,3,0,0,191,115,0,0,0,0,0,42.3848359,-83.3137322,3
0,95,0,3,5,3,1,477,51,0,0,0,0,0,42.2287292,-83.1940557,3
0,44,1,3,3,2,2,388,56,0,0,0,0,0,42.2557909,-83.2414209,3
0,51,2,0,4,1,1,533,85,0,0,0,0,0,42.339727,-83.3309956,3
0,55,0,1,4,2,1,392,47,0,0,0,0,0,42.2623729,-83.1867692,3
0,246,12,11,15,16,2,723,415,0,0,0,0,0,42.3383738,-83.0215144,3
0,76,2,2,3,2,2,291,89,0,0,0,0,0,42.2689039,-83.2508968,3
0,63,2,1,6,2,1,195,86,0,0,0,0,0,42.2930732,-83.27205,3
0,58,0,4,3,2,2,976,46,0,0,0,0,0,42.3372059,-83.4685795,3
0,77,0,1,4,3,1,393,38,0,0,0,0,0,42.214207,-83.1671408,3
0,93,0,5,7,2,1,614,45,0,0,0,0,0,42.2132858,-83.2006138,3
0,77,2,2,5,1,1,330,88,0,0,0,0,0,42.2705893,-83.2313196,3
0,61,0,1,4,2,0,309,30,0,0,0,0,0,42.2488379,-83.1712752,3
0,50,0,5,2,1,1,768,27,0,0,0,0,0,42.2116396,-83.2545525,3
0,80,2,2,5,2,1,194,91,0,0,0,0,0,42.2825198,-83.2514871,3
0,79,0,5,4,1,0,629,38,0,0,0,0,0,42.1850784,-83.1981785,3
0,86,2,2,6,2,2,329,97,0,0,0,0,0,42.3058627,-83.1883577,3
0,85,0,5,4,2,1,580,41,0,0,0,0,0,42.1989107,-83.1936827,3
0,262,14,11,19,16,2,860,444,0,0,0,0,0,42.3318464,-83.0436249,3
0,40,0,1,4,1,1,396,33,0,0,0,0,0,42.3121682,-83.307964,3
0,30,0,1,4,1,1,359,28,0,0,0,0,0,42.3255409,-83.3190936,3
0,88,0,3,3,2,1,473,47,0,0,0,0,0,42.2141917,-83.1815433,3
0,67,2,1,4,2,1,317,69,0,0,0,0,0,42.2829714,-83.1862519,3
0,45,3,0,3,0,0,459,122,0,0,0,0,0,42.3691197,-83.3530469,3
0,57,2,0,3,1,1,412,130,0,0,0,0,0,42.356417,-83.3319401,3
0,0,0,0,0,0,0,0,2,0,0,0,0,0,46.4970758,-87.9183563,3
0,3,0,0,0,0,1,3,9,0,0,0,0,0,46.4881961,-87.3501899,3
0,13,0,0,2,1,3,22,13,0,0,0,0,0,42.4506067,-85.6739672,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.3792024,-85.4555592,3
0,16,0,0,1,0,0,25,12,0,0,0,0,0,43.0569647,-85.6912966,3
0,4,1,0,2,0,1,2,0,0,0,0,0,0,41.9375389,-83.3270063,3
0,106,0,2,8,19,7,148,96,0,0,0,0,0,42.9697664,-85.6565125,3
0,32,1,0,4,1,2,81,15,0,0,0,0,0,41.9345278,-83.3893207,3
0,41,0,0,1,2,1,799,18,0,0,0,0,0,42.138854,-83.245611,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2076225,-84.2668218,3
0,5,0,0,0,0,3,65,29,0,0,0,0,0,42.8398785,-85.531544,3
0,14,3,1,2,1,4,142,42,0,0,0,0,0,42.2988803,-85.1899775,3
0,9,0,1,0,0,5,84,7,0,0,0,0,0,42.2454687,-85.5304492,3
0,5,0,0,2,8,4,5,53,0,0,0,0,0,43.4198124,-83.9256409,3
0,15,0,1,0,0,1,118,27,0,0,0,0,0,43.6105387,-84.1744284,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.871313,-86.299,3
0,48,1,1,1,0,3,320,20,0,0,0,0,0,42.2305007,-85.6100329,3
0,40,1,1,2,2,5,162,22,0,0,0,0,0,42.2496668,-85.5596217,3
0,9,0,1,0,0,5,84,7,0,0,0,0,0,42.245175,-85.5304554,3
0,27,0,0,2,0,0,26,13,0,0,0,0,0,43.0510202,-85.6533698,3
0,20,3,0,0,1,0,526,53,0,0,0,0,0,42.208389,-83.679023,3
0,36,0,0,3,9,2,129,8,0,0,0,0,0,42.2607092,-83.6026435,3
0,5,0,0,1,0,1,16,6,0,0,0,0,0,42.6758081,-82.7540903,3
0,66,0,0,4,3,1,334,35,0,0,0,0,0,42.2239292,-83.1576996,3
0,77,0,1,4,2,1,568,37,0,0,0,0,0,42.1847932,-83.1799383,3
0,14,0,0,1,0,3,21,47,0,0,0,0,0,45.6281129,-84.4781093,3
0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.2305224,-84.5439104,3
0,2,0,0,1,0,1,0,0,0,0,0,0,0,42.059287,-83.392907,3
0,22,0,0,2,0,1,362,5,0,0,0,0,0,42.6554085,-83.032795,3
0,39,0,5,1,1,1,675,47,0,0,0,0,0,42.2126344,-83.2679056,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,44.3227036,-85.0699635,3
0,3,0,0,1,1,1,3,3,0,0,0,0,0,43.1826232,-84.7981615,3
0,38,0,0,5,4,2,293,39,0,0,1,0,0,42.4939868,-83.027142,3
0,198,9,17,14,8,7,1383,220,0,0,0,0,0,42.260417,-83.730209,3
0,10,0,0,1,1,3,0,1,0,0,0,0,0,43.0838546,-83.3084966,3
0,40,2,2,10,11,1,614,132,0,0,0,0,0,42.3966132,-83.1018933,3
0,63,2,1,5,1,1,237,82,0,0,0,0,0,42.2980167,-83.2853154,3
